year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2018,10,Montgomery County,NC,michael,TS,2,1,1,1,43711.488,48972.532,45,990,0.6,0.000123191,14.5,92,10411,16235,300000,2
2013,6,Nash County,NC,andrea,EX,8,1,1,1,228.211,230.42,40,997,0.428571429,0.003928436,12.6,117300,37726,42256,28790300,166
2012,5,New Hanover County,NC,beryl,LO,2,1,1,1,139138.296,139314.999,40,998,2,0.038391748,9.9,222000,85183,101402,755656200,3893
2018,9,New Hanover County,NC,florence,H1,12,1,1,1,454576.059,256035.148,80,957,4,0.00488814,10.3,1211,93636,109244,108731700,534
2015,5,Northampton County,NC,ana,TD,2,1,1,1,171.965,237.605,30,1012,2.4,0.000778076,21.4,45,8630,11567,1036600,9
2018,10,Northampton County,NC,michael,EX,2,1,1,1,8048.018,13684.08,50,988,1.402597403,0,17.4,0,8628,11970,0,0
2019,10,Northampton County,NC,nestor,EX,2,1,1,1,25334.918,17839.471,40,1002,0.666666667,0,17.4,0,8628,11670,0,0
2018,10,Orange County,NC,michael,EX,2,1,1,1,4689.954,6582.748,50,989,0.545454545,0.000643456,5,833,52529,57502,7044100,37
2016,9,Pender County,NC,hermine,TS,2,1,1,1,0,0,55,992,0.857142857,0.019332676,13.1,92,20534,27363,102246500,529
2018,9,Polk County,NC,florence,TD,2,1,1,1,1568,1336,25,1008,0.666666667,0.000342642,6.9,198,9047,11674,775000,4
2018,10,Randolph County,NC,michael,TS,4,1,1,1,1902.81,2048.703,45,991,1.145454545,4.83E-05,11.3,210,56041,62147,635000,3
2013,6,Robeson County,NC,andrea,EX,4,1,1,1,5296.506,5467.648,40,996,0.75,0.003300771,25.6,66800,45154,52412,22952900,173
2013,6,Sampson County,NC,andrea,EX,2,1,1,1,8768.58,7463.826,40,996,1.178571429,0.000812318,17.6,89200,23336,27083,3249900,22
2015,5,Sampson County,NC,ana,TD,3,1,1,1,5811.642,7292.794,30,1010,2,0.000588972,18.8,31,23280,27166,2194100,16
2018,10,Stanly County,NC,michael,TS,2,1,1,1,66327.219,73709.95,45,990,0.6,7.24E-05,10.1,36,23717,27638,400000,2
2018,10,Union County,NC,michael,TS,6,1,1,1,9973.686,10333.445,45,990,0.6,0.000288785,6.5,1243,75165,79644,4870000,23
2018,10,Vance County,NC,michael,EX,6,1,1,1,13854.346,15819.612,50,989,0.545454545,0.000149128,18,53,16854,20117,545100,3
2018,10,Warren County,NC,michael,EX,6,1,1,1,3068.634,3303.913,50,989,0.545454545,0.000167392,12.5,3,7780,11948,347600,2
2015,5,Wayne County,NC,ana,TD,2,1,1,1,455241.148,647168.897,30,1010,3.2,0.00246514,16.7,91,47530,53141,21329400,131
2013,6,Wilson County,NC,andrea,EX,2,1,1,1,28.617,17.382,40,997,0.428571429,0.003603604,17.3,111500,31690,35520,19086400,128
2015,5,Wilson County,NC,ana,TD,2,1,1,1,3190.367,4419.437,30,1011,1.2,0.0028875,17.5,49,32003,35671,15071700,103
2011,8,Coos County,NH,irene,EX,2,1,1,1,27321.258,30293.424,45,982,0.75,0.001932231,9.3,133200,14860,21219,4708400,41
2017,10,Coos County,NH,nate,EX,2,1,1,1,78383.82,70648.021,25,1006,0.75,0.000372249,9.4,27,13879,21491,756500,8
